Tag	Tag File Name	Seq	Folder	Title	Author
critical thinking	critical-thinking.html	3	quotes	Those Sharp, Scratchy, Harsh, Almost Unpleasant Guys	Thomas J. Watson, Jr
critical thinking	critical-thinking.html	3	quotes	To differentiate truth from falsehood	Robert B. Reich
critical thinking	critical-thinking.html	3	quotes	To prolong our presence on the face of the Earth	Jonas Salk
critical thinking	critical-thinking.html	3	quotes	Torturing the Data	Darrell Huff
critical thinking	critical-thinking.html	3	quotes	The Underlying Principle of the Problem	Steve Jobs
critical thinking	critical-thinking.html	3	quotes	Unintelligible Propositions	Thomas Jefferson
critical thinking	critical-thinking.html	3	quotes	Violent Opposition from Mediocre Minds	Albert Einstein
critical thinking	critical-thinking.html	3	quotes	We are Doing our Best	Winston Churchill
critical thinking	critical-thinking.html	3	quotes	We are what we pretend to be	Kurt Vonnegut
critical thinking	critical-thinking.html	3	quotes	We don't even own suits	Apple
critical thinking	critical-thinking.html	3	quotes	We have wonderful arguments	Steve Jobs
critical thinking	critical-thinking.html	3	quotes	We Must Respect the Other Fellow's Religion	H. L. Mencken
critical thinking	critical-thinking.html	3	quotes	When his salary depends on his not understanding it	Upton Sinclair
critical thinking	critical-thinking.html	3	quotes	Where the Puck is Going to Be	Steve Jobs
cultural evolution	cultural-evolution.html	3	quotes	All the World's Cultures Now Available to Us	Ken Wilber
cultural evolution	cultural-evolution.html	3	quotes	Ancient ethnic sores belching fire	Don Beck and Chris Cowan
cultural evolution	cultural-evolution.html	3	quotes	The Arc of History	Martin Luther King Jr.
cultural evolution	cultural-evolution.html	3	quotes	Authentic cultures	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	The Awesome Power of Culture	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Belief is the end of Observation	Milton Glaser
cultural evolution	cultural-evolution.html	3	quotes	Between-group selection became the primary evolutionary force	David Sloan Wilson
cultural evolution	cultural-evolution.html	3	quotes	the biological evolution of Homo sapiens was usurped by socio-cultural evolution	Jürgen Klüver
cultural evolution	cultural-evolution.html	3	quotes	The brightest goat in the herd	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Changing the World	Margaret Mead
cultural evolution	cultural-evolution.html	3	quotes	Chaos and Mediocrity	Joe Boyd
cultural evolution	cultural-evolution.html	3	quotes	Counter-Culture's own values and aesthetics decayed	Joe Boyd
cultural evolution	cultural-evolution.html	3	quotes	Cultural, as opposed to biological, evolution	Edwin G. Pulleyblank
cultural evolution	cultural-evolution.html	3	quotes	Culture can be either mutualistic or predatory	Victor Hwang
cultural evolution	cultural-evolution.html	3	quotes	Cultures as a kind of mental infection	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	The Discomfort of Thought	John F. Kennedy
cultural evolution	cultural-evolution.html	3	quotes	Egocentric Existence	Clare W. Graves
cultural evolution	cultural-evolution.html	3	quotes	The entire pageant of human history	David Sloan Wilson
cultural evolution	cultural-evolution.html	3	quotes	The Eternal Struggle for Human Rights	Albert Einstein
cultural evolution	cultural-evolution.html	3	quotes	Evolutionary success and individual suffering	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	The Extent of Freedom in All of its Dimensions	Anthony M. Kennedy
cultural evolution	cultural-evolution.html	3	quotes	Fear of Missing Out	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	The Fragile Constructs of History	Eamonn Kelly
cultural evolution	cultural-evolution.html	3	quotes	From a biological perspective, nothing is unnatural	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	The historical trajectory of violence	Steven Pinker
cultural evolution	cultural-evolution.html	3	quotes	History is something very few people have been doing	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Homophobia	Ken Wilber
cultural evolution	cultural-evolution.html	3	quotes	Human imagination more than biological reality	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	If the future of humanity is decided in your absence	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	I'll take the big sordid dirty crooked city	Raymond Chandler
cultural evolution	cultural-evolution.html	3	quotes	I must study politics and war	John Adams
cultural evolution	cultural-evolution.html	3	quotes	Inextricably Linked in Freedom	Wynton Marsalis
cultural evolution	cultural-evolution.html	3	quotes	Institutions must advance and keep pace with the times	Thomas Jefferson
cultural evolution	cultural-evolution.html	3	quotes	Levels of Development	Ken Wilber
